Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Honduras,1807.01,1528.13,1791.41,1695.34,1879.53,1500.89,1594.38,1618.11,1708.9,1427.06,1849.93,1619.2,1707.84,1583.46,1561.31,1502.7,1898.97,1563.98,1901.77,1947.91,1740.39,1513.23,1477.65,1594.33,1572.28,1681.63,1745.52,1460.38,1758.62,1978.63,1773.07,1736.64,1604.72,1534.33,1586.68,1480.01,1557.58,1457.57,1819.29,1552.89,1792.9,1398.98,1337.41,1804.66,1203.03,1804.59,1867.06,1496.59,1939.05,1876.01,1418.44,1488.93,1473.59,1620.61,1486.26,1991.49,1692,1714.67,1931.36,1461.45,1943.2,1802.63,1533.96,1675.67,1649.24,1531.58,1609.93,1995.66,1564.78,1327.11,1991.03,1406.88,1822.07,1601.94
Uganda,2010.02,2328.24,2140.65,2649.36,1694.68,1815.09,1807.33,1894.5,1874.5,2136.23,2128.68,2359.73,2290.36,2294.23,1981.25,1798.26,1886.15,2144.66,2034.96,1653.36,1914.52,1999.85,2202.79,1789.36,1869.81,2129.07,1991.4,1966,1984.74,1874.45,1607.32,1851.55,1823.39,1830.46,1630.07,1938.84,1959.55,1789.63,1857.19,1736.84,1785.95,1923.28,1635.4,1510.51,1840.21,1663.86,1678.21,1735.83,1481.56,1562.73,1347.46,1586.97,1427.49,1417.83,1458.53,1430.9,1724.92,1517.22,1491.73,1421.07,1702.6,1707.99,1651.86,1546.32,1470.64,1538.39,1232.58,1430.11,1569.99,1761.51,1832.4,1247.36,1341.14,1545.62
Peru,2244.04,2253.19,2160.48,2214.91,2129.67,2071.29,2303.57,2003,2184.76,2013.23,1838.75,1944.24,1759.34,1809.18,1780.44,1877.77,1905.43,2084.98,2083.15,1995.86,2031.27,2297.21,2013.92,2275.14,2065.03,2250.64,2007.43,2109.06,2148.83,1891.59,1939.25,2271.84,2323.85,2168.32,2377,2222.01,2391.04,2245.67,2204.5,2295.23,2253.44,2137.34,2121.68,2391.19,2468.89,2050.68,2139.72,2124.08,2237.18,2130.67,2173.29,2081.55,2101.64,2036.32,1991.61,1905.1,2031.29,2064.91,2120.34,2287.15,1938.33,2144.81,2272.07,2206.8,2263.51,2261.11,2059.8,2355.38,2204.6,2362.1,2011.89,2220.89,2002.03,2094.42
Colombia,3494.84,3452.89,3163.18,3112.45,3223.15,3378.8,3573.37,2926.2,3430.87,3178.5,3129.44,3020.96,2986.72,2955.31,3185.49,2977.24,3188.3,3262.46,3477.41,3472.79,3643.06,3828.12,3421.61,3800.34,3529.93,3757.61,3293.7,3360.19,3586.09,3472.8,3124.02,3481.53,3277.88,3201.34,3472.99,3204.55,3566.99,3489.83,3617.91,3466.12,3439.92,3498.7,3327.29,3602.34,3633.05,3418.11,3503.22,3080.43,3704.75,3576.52,3600.71,3285.53,3279.42,3413.92,3246.49,3242.35,3349.71,3419.42,3414.48,3309.34,3628.25,3572.56,3325.1,3349,3335.75,3217.18,3377.92,3101.08,3165.43,3101.09,3039.15,3347.09,3273.71,2918.9
India,1399.45,1234.83,1270.34,1437.9,1254.92,1301.94,1367.21,1112.78,1344.68,1379.74,1168.82,1326.14,1215.77,1219.39,1335.45,1109.82,1264.47,1345.48,1230.9,1082.42,1240.4,1249.34,987.46,1275.67,979.79,1285.49,1106.48,1090.5,1137.78,961.89,1148.49,1030.81,981.36,1234.67,1091.34,1014.92,1067.39,899.43,1240.92,1145.56,1437.71,1140.1,1002.06,1179.51,1278.77,1190.66,1195.92,1209.97,1206.72,1093.27,1085.36,1113.73,1004.24,1229.97,1109.48,1161,1184.45,1301.34,1267.37,1119.39,1355.74,1254.75,1136.69,1356.2,1107.64,1162.14,1219.51,1209.84,1115.66,1379.32,1321.11,1248.63,1282.02,1160.73
Indonesia,2947.24,2412.85,2826.42,2578.32,3441.62,3446.83,3210.98,2985.35,3117.77,3012.09,3143.09,2681.32,3014.21,2569.43,3128.07,2647.15,3376.27,3047.05,3141.42,2954.44,3393.29,3199.17,2356.26,3403,2929.2,3326.39,2717.67,2907.3,3424.22,3033.98,2953.87,3119.83,2608.53,3128.89,3497.92,3207.37,3170.2,2943.23,3461.19,3268.49,2933.7,2858.91,3063.47,2984.94,3001.28,3584.28,3277.19,2336.84,3526.41,3378.34,3346.92,3226.98,2708.47,3073.38,2795.69,3121.23,2938.04,3321.78,3467.63,2957.95,3767.19,3256.91,3337.87,3646.35,3068.76,2797.76,3751.89,3663.54,3209.17,2869.42,3613.18,3505.79,3563.67,2953.84
Brazil,1716.47,1563.72,1807.1,1788.5,1632.65,1657.92,1829.41,1678.68,1584.56,1711.3,1818.8,1451.9,1735.01,1502.39,1789.73,1866.77,1846.02,1667.75,1646.32,1437.25,1724.81,1891.74,1814.96,1926.14,1962.82,1804.77,1870,1932.12,1896.29,1862.89,1810.79,1716.11,1797.6,1820.63,1896.22,2027.78,1900.54,1739.53,1904.89,2049.38,1709.53,1791.21,1820.51,1774.4,1875.79,1850.17,1901.27,1791.11,1724.86,1871.45,1919.08,1764.28,1714.24,1709.92,1805.91,1776.01,1811.34,1675.52,1897.32,1967.4,1685.3,1906.61,1638.81,1873.1,1758.39,1609.85,1741.58,1748.23,1800.4,1671.08,1666.41,1771.78,1699.81,1428.39
Ethiopia,1582.15,1548.66,1568.14,1593.89,1104.08,1083.86,1068.15,1165.98,1109.7,1181.82,1345.94,1243.77,1171.22,1280.73,867.6,817.28,814.49,1308.74,1077.11,966.34,1069.04,1097.67,1107.53,989.01,1028.79,1140.07,1113.14,1331.2,1158,1231.09,996.9,1102.49,1111.26,1085.76,895.99,1239.13,1104.43,1082.65,1059.85,1061.82,983.67,960.65,967.91,1012.82,1017.85,998.4,1148.75,1193.52,1010.16,911.91,931.02,988.67,915.66,935,960.36,1010.81,1120.72,957.03,910.62,810.37,1060.68,942.28,940.93,1052.67,1025.64,931.52,957.99,952.22,1048.85,1137.43,1027.44,815.75,783.28,1037.62
Viet Nam,1709.87,1772.99,1938.07,1949.2,1632.62,1896.85,2038.69,1935.41,1779.59,1744.79,2003.41,2003.96,1827.14,1918.5,2192,1916.64,1991.65,1691.71,1770.08,1706.89,1985.57,2228.66,2388.61,2383.56,2074.37,2317.63,1942.67,1815.16,2331.6,2037.01,2334.13,2416.01,2016.76,2079.87,2014.89,2174.09,2209.59,1978.22,2020.43,2054.46,2172.07,1869.16,1932.06,1954.17,2086.67,2018.64,2261.67,1993.92,1973.48,2142.77,2088.98,1987.24,1933.56,1831.21,1655.1,1977.63,1917.92,2161.13,2234.11,2020.58,2168.26,2076.53,1999.82,2226.26,1927.31,1812.09,2054.31,2375.73,2109.15,1823.87,2145.61,2076.95,2236.44,1919.16
Guatemala,1950.17,1713.79,1952.83,1909.36,2139.08,1807.28,1928.51,1829.19,1932.84,1805.75,1964.92,1949.92,1764.69,1720.48,1702.44,1703.51,1877.95,1669.24,1954.56,2236.59,1887.79,1655.36,1806.57,2010.27,1771.94,1772.84,1835.12,1576.55,1991.32,2192.79,1905.93,2099,1898.35,1893.29,2064.96,1702.61,1607.8,1671.58,2030.04,1906.95,1901.48,1625.55,1854.45,1888.08,1447.04,2180.39,1996.05,1888.98,2100.66,2038.2,1768.06,1687.71,1628.61,1723.85,1682.08,2033.59,2089.47,1812.96,2068.28,1551.7,2179.38,2084.06,1751.09,2125.44,1946.31,1746.95,1674.64,1954.97,1636.4,1548.27,2209.36,1663.35,2089.64,1691.28
