date,enso_nino12,enso_nino3,enso_nino4,enso_nino34,enso_anom12,enso_anom3,enso_anom4,enso_anom34,psd_arabica_production,psd_beginning_stocks,psd_domestic_consumption,psd_ending_stocks,psd_exports,psd_imports,psd_production,psd_robusta_production,psd_total_distribution,psd_total_supply,precip_mean_mm_10c,precip_mean_mm_10c_carryforward_flag
2000-01-01,23.81,24.0,26.99,24.78,-0.76,-1.66,-1.33,-1.77,,,,,,,,,,,,1
2000-02-01,25.48,25.27,26.73,25.21,-0.62,-1.14,-1.47,-1.55,,,,,,,,,,,,1
2000-03-01,26.02,26.7,26.89,26.3,-0.47,-0.5,-1.43,-0.98,,,,,,,,,,,,1
2000-04-01,25.5,27.41,27.2,26.95,-0.04,-0.17,-1.43,-0.87,,,,,,,,,,,,1
2000-05-01,24.02,26.88,27.63,27.07,-0.4,-0.37,-1.29,-0.86,,,,,,,,,,,,1
2000-06-01,22.75,26.03,28.06,26.94,-0.38,-0.59,-0.91,-0.79,,,,,,,,,,,,1
2000-07-01,21.68,25.18,28.17,26.63,-0.28,-0.62,-0.73,-0.67,,,,,,,,,,,,1
2000-08-01,20.44,24.64,28.16,26.37,-0.57,-0.48,-0.62,-0.49,,,,,,,,,,,,1
2000-09-01,20.5,24.59,28.27,26.2,-0.23,-0.32,-0.49,-0.52,,,,,,,,,,,,1
2000-10-01,20.74,24.48,28.11,26.02,-0.27,-0.5,-0.65,-0.7,,,,,,,,,,,,1
2000-11-01,20.46,24.4,27.92,25.92,-1.19,-0.7,-0.77,-0.79,,,,,,,,,,,,1
2000-12-01,21.85,24.57,27.59,25.68,-0.96,-0.66,-0.95,-0.92,,,,,,,,,,,,1
2001-01-01,23.94,25.24,27.43,25.81,-0.63,-0.42,-0.89,-0.73,,,,,,,,,,,,1
2001-02-01,25.62,26.12,27.37,26.12,-0.48,-0.28,-0.82,-0.63,,,,,,,,,,,,1
2001-03-01,26.66,27.2,27.61,26.8,0.17,-0.01,-0.71,-0.48,,,,,,,,,,,,1
2001-04-01,25.72,27.46,28.04,27.33,0.18,-0.12,-0.59,-0.49,,,,,,,,,,,,1
2001-05-01,23.71,27.11,28.53,27.6,-0.71,-0.14,-0.39,-0.34,,,,,,,,,,,,1
2001-06-01,22.28,26.34,28.79,27.54,-0.85,-0.28,-0.17,-0.19,,,,,,,,,,,,1
2001-07-01,21.38,25.53,28.98,27.25,-0.58,-0.27,0.09,-0.04,,,,,,,,,,,,1
2001-08-01,20.16,24.9,28.84,26.8,-0.84,-0.22,0.05,-0.05,,,,,,,,,,,,1
2001-09-01,19.6,24.31,28.97,26.52,-1.13,-0.59,0.21,-0.2,,,,,,,,,,,,1
2001-10-01,19.88,24.55,28.95,26.57,-1.13,-0.43,0.19,-0.14,,,,,,,,,,,,1
2001-11-01,20.77,24.42,28.78,26.33,-0.89,-0.68,0.08,-0.37,,,,,,,,,,,,1
2001-12-01,21.79,24.61,28.66,26.19,-1.02,-0.62,0.12,-0.41,,,,,,,,,,,,1
2002-01-01,23.79,25.17,28.72,26.39,-0.78,-0.49,0.4,-0.15,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-02-01,26.03,26.16,28.66,26.71,-0.07,-0.24,0.46,-0.04,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-03-01,27.25,27.35,28.57,27.29,0.77,0.14,0.25,0.01,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-04-01,26.35,27.58,29.03,27.84,0.82,0.0,0.41,0.02,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-05-01,25.04,27.51,29.52,28.24,0.63,0.26,0.6,0.31,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-06-01,23.51,27.19,29.61,28.44,0.38,0.57,0.64,0.72,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-07-01,21.72,26.19,29.52,28.03,-0.23,0.39,0.63,0.74,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-08-01,20.74,25.63,29.43,27.72,-0.26,0.51,0.64,0.87,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-09-01,20.93,25.76,29.37,27.81,0.2,0.86,0.61,1.09,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-10-01,21.39,25.97,29.41,27.96,0.37,0.99,0.65,1.25,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-11-01,22.63,26.4,29.55,28.17,0.97,1.3,0.85,1.47,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
2002-12-01,23.91,26.44,29.38,27.97,1.1,1.21,0.84,1.37,52717.0,13440.0,20088.0,14418.0,66992.0,536.0,87522.0,34805.0,101498.0,101498.0,1921.159,0
